        A,         B,    NUM_LANES,    CAPACITY,    DISTANCE,    POSTSPD,    FTC2
       162,     21196,         1,     10000,      0.98,     12.50,         0
       162,     21217,         1,     10000,      1.01,     12.50,         0
       163,     21217,         1,     10000,      0.59,     12.50,         0
       163,     21226,         1,     10000,      1.13,     12.50,         0
       163,     21235,         1,     10000,      1.00,     12.50,         0
       164,     21267,         1,     10000,      3.48,     12.50,         0
       164,     21343,         1,     10000,      2.01,     12.50,         0
       164,     21421,         1,     10000,      1.30,     12.50,         0
       165,     21237,         1,     10000,      1.04,     12.50,         0
       165,     21251,         1,     10000,      0.58,     12.50,         0
       166,     21285,         1,     10000,      1.48,     12.50,         0
       166,     21731,         1,     10000,      0.63,     12.50,         0
       166,     21777,         1,     10000,      0.98,     12.50,         0
       167,     21735,         1,     10000,      0.48,     12.50,         0
       167,     21738,         1,     10000,      0.37,     12.50,         0
       167,     21771,         1,     10000,      1.05,     12.50,         0
       168,     21689,         1,     10000,      0.49,     12.50,         0
       168,     21701,         1,     10000,      0.52,     12.50,         0
       168,     21707,         1,     10000,      0.45,     12.50,         0
       168,     21717,         1,     10000,      0.41,     12.50,         0
       169,     21723,         1,     10000,      0.27,     12.50,         0
       170,     21329,         1,     10000,      1.18,     12.50,         0
       170,     21779,         1,     10000,      1.65,     12.50,         0
       170,     21823,         1,     10000,      1.35,     12.50,         0
       170,     21875,         1,     10000,      1.56,     12.50,         0
       171,     21279,         1,     10000,      1.60,     12.50,         0
       171,     21329,         1,     10000,      1.03,     12.50,         0
       171,     21397,         1,     10000,      1.37,     12.50,         0
       172,     21397,         1,     10000,      1.35,     12.50,         0
       172,     21435,         1,     10000,      1.07,     12.50,         0
       172,     21453,         1,     10000,      0.66,     12.50,         0
       173,     21453,         1,     10000,      0.41,     12.50,         0
       173,     21459,         1,     10000,      1.03,     12.50,         0
       174,     21459,         1,     10000,      1.39,     12.50,         0
       174,     21925,         1,     10000,      0.48,     12.50,         0
       174,     21933,         1,     10000,      1.35,     12.50,         0
       175,     21435,         1,     10000,      1.08,     12.50,         0
       175,     21875,         1,     10000,      1.19,     12.50,         0
       175,     21911,         1,     10000,      1.15,     12.50,         0
       175,     21925,         1,     10000,      0.70,     12.50,         0
       176,     21823,         1,     10000,      0.81,     12.50,         0
       176,     22262,         1,     10000,      1.06,     12.50,         0
       176,     22305,         1,     10000,      1.53,     12.50,         0
       176,     42276,         1,     10000,      1.65,     12.50,         0
       177,     21911,         1,     10000,      1.63,     12.50,         0
       177,     22301,         1,     10000,      1.50,     12.50,         0
       177,     22621,         1,     10000,      1.60,     12.50,         0
       178,     21761,         1,     10000,      0.74,     12.50,         0
       178,     22211,         1,     10000,      0.84,     12.50,         0
