SEGMENT: 1,SCENARIO:  HEFT-W of 57th,

HR,LANE VOLUME,LANE VOLUME,LANE VOLUME,LANE VOLUME,SHARE %,SHARE %,VC RATIO,VC RATIO,VC RATIO,VC RATIO,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,TOLL,TOLL
FACILITY,GU,GU,XL,XL,CORRIDOR,XL,XL,GU,GU,XL,XL,GU,GU,XL,XL,XL,XL
DIRECTION,NB,SB,NB,SB,TOTAL,NB,SB,NB,SB,NB,SB,NB,SB,NB,SB,NB,SB
  9:   ,   9020,   5769,    713,    814,  16315,    7.3,   12.4,   1.09,   0.70,   0.17,   0.19,   18.7,   68.9,   75.0,   75.0,   0.19,   0.19
 10:   ,   7014,   4537,    279,    318,  12149,    3.8,    6.6,   0.85,   0.55,   0.07,   0.08,   68.1,   69.0,   75.0,   75.0,   0.19,   0.19
 11:   ,   4901,   6044,    116,    248,  11309,    2.3,    3.9,   0.59,   0.73,   0.03,   0.06,   68.5,   68.9,   75.0,   75.0,   0.19,   0.19
 12:   ,   4745,   4992,    111,    143,   9991,    2.3,    2.8,   0.58,   0.61,   0.03,   0.03,   68.5,   68.9,   75.0,   75.0,   0.19,   0.19
 13:   ,   4922,   5054,    116,    147,  10239,    2.3,    2.8,   0.60,   0.61,   0.03,   0.04,   68.5,   68.9,   75.0,   75.0,   0.19,   0.19
 14:   ,   5194,   5268,    126,    164,  10752,    2.4,    3.0,   0.63,   0.64,   0.03,   0.04,   68.5,   68.9,   75.0,   75.0,   0.19,   0.19
 15:   ,   5814,   5575,    161,    191,  11741,    2.7,    3.3,   0.71,   0.68,   0.04,   0.05,   68.5,   68.9,   75.0,   75.0,   0.19,   0.19
 16:   ,   6746,   6693,    376,    516,  14330,    5.3,    7.2,   0.82,   0.81,   0.09,   0.12,   68.3,   68.8,   75.0,   75.0,   0.19,   0.19
 17:   ,   5624,   7757,    473,    635,  14488,    7.8,    7.6,   0.68,   0.94,   0.11,   0.15,   68.5,   43.7,   75.0,   75.0,   0.19,   0.19
 18:   ,   6365,   8831,    842,   1081,  17119,   11.7,   10.9,   0.77,   1.07,   0.20,   0.26,   68.4,   20.5,   75.0,   75.0,   0.19,   0.19
 19:   ,   5393,   8203,    215,    590,  14401,    3.8,    6.7,   0.65,   1.00,   0.05,   0.14,   68.5,   29.7,   75.0,   75.0,   0.19,   0.19
 20:   ,   5223,   5225,     86,     94,  10628,    1.6,    1.8,   0.63,   0.63,   0.02,   0.02,   68.5,   68.9,   75.0,   75.0,   0.19,   0.19
 21:   ,   3691,   3248,     57,     46,   7042,    1.5,    1.4,   0.45,   0.39,   0.01,   0.01,   68.5,   69.0,   75.0,   75.0,   0.19,   0.19
