  A,  B,  Dir1, Dir2, Dir3, Dir4, Comments: 1=I595 EB & 2=I595 WB
  21608.00,  21582.00,         0,         0,         0,      1.00,         0
  21624.00,  21631.00,         0,         0,         0,      1.00,         0
  21626.00,  21608.00,         0,         0,         0,      1.00,         0
  21631.00,  21642.00,         0,         0,         0,      1.00,         0
  21632.00,  21626.00,         0,         0,      1.00,         0,         0
  21642.00,  21662.00,         0,         0,      1.00,         0,         0
  21644.00,  21632.00,         0,         0,      1.00,         0,         0
  21662.00,  21354.00,         0,         0,      1.00,         0,         0
  21664.00,  21644.00,         0,         0,         0,      1.00,         0
  21668.00,  21696.00,         0,         0,      1.00,         0,         0
  21670.00,  20275.00,         0,         0,         0,      1.00,         0
  21690.00,  21670.00,         0,         0,         0,      1.00,         0
  21696.00,  21700.00,         0,         0,         0,      1.00,         0
  21700.00, 100340.00,         0,         0,         0,      1.00,         0
  21706.00,  21780.00,         0,         0,         0,      1.00,         0
  21714.00,  21690.00,         0,         0,      1.00,         0,         0
  21764.00,  21714.00,         0,         0,      1.00,         0,         0
  21772.00,  21764.00,         0,         0,         0,      1.00,         0
  21780.00,  31480.00,         0,         0,         0,      1.00,         0
  21782.00,  21772.00,         0,         0,         0,      1.00,         0
  21854.00,  21624.00,         0,         0,      1.00,         0,         0
  21862.00,  22218.00,      1.00,         0,         0,         0,         0
  22004.00,  26711.00,      1.00,         0,         0,         0,         0
  22008.00,  26712.00,         0,      1.00,         0,         0,         0
  22214.00,  26238.00,         0,      1.00,         0,         0,         0
  22218.00,  20814.00,      1.00,         0,         0,         0,         0
  22224.00,  26242.00,         0,      1.00,         0,         0,         0
  23224.00,  26221.00,      1.00,         0,         0,         0,         0
  23226.00,  26910.00,         0,      1.00,         0,         0,         0
  23228.00, 100313.00,      1.00,         0,         0,         0,         0
  23230.00,  26222.00,         0,      1.00,         0,         0,         0
  25472.00,  26285.00,         0,      1.00,         0,         0,         0
  25475.00,  21212.00,      1.00,         0,         0,         0,         0
  25482.00,  21326.00,         0,      1.00,         0,         0,         0
  26205.00,  13573.00,      1.00,         0,         0,         0,         0
  26206.00,  26208.00,         0,      1.00,         0,         0,         0
  26208.00,  21094.00,         0,      1.00,         0,         0,         0
  26209.00,  26205.00,      1.00,         0,         0,         0,         0
  26212.00,  20561.00,         0,      1.00,         0,         0,         0
  26213.00,  21309.00,      1.00,         0,         0,         0,         0
  26217.00,  20560.00,      1.00,         0,         0,         0,         0
  26218.00,  26904.00,         0,      1.00,         0,         0,         0
  26219.00,  20536.00,      1.00,         0,         0,         0,         0
  26220.00,  40045.00,         0,      1.00,         0,         0,         0
  26221.00,  26905.00,      1.00,         0,         0,         0,         0
  26222.00,  21034.00,         0,      1.00,         0,         0,         0
  26223.00,  23228.00,      1.00,         0,         0,         0,         0
  26226.00,  26228.00,         0,      1.00,         0,         0,         0
  26227.00,  26223.00,      1.00,         0,         0,         0,         0
  26228.00,  26232.00,         0,      1.00,         0,         0,         0
  26229.00,  26227.00,      1.00,         0,         0,         0,         0
  26231.00,  26229.00,      1.00,         0,         0,         0,         0
  26232.00,  21042.00,         0,      1.00,         0,         0,         0
  26233.00,  26231.00,      1.00,         0,         0,         0,         0
  26237.00,  26233.00,      1.00,         0,         0,         0,         0
  26238.00,  22224.00,         0,      1.00,         0,         0,         0
  26239.00,  21862.00,      1.00,         0,         0,         0,         0
  26242.00,  20854.00,         0,      1.00,         0,         0,         0
  26243.00,  26239.00,      1.00,         0,         0,         0,         0
  26245.00,  20389.00,      1.00,         0,         0,         0,         0
  26249.00,  20395.00,      1.00,         0,         0,         0,         0
  26250.00,  20696.00,         0,      1.00,         0,         0,         0
  26251.00,  21320.00,      1.00,         0,         0,         0,         0
  26252.00,  21106.00,         0,      1.00,         0,         0,         0
  26253.00,  26935.00,      1.00,         0,         0,         0,         0
  26257.00,  21104.00,      1.00,         0,         0,         0,         0
  26259.00, 100320.00,      1.00,         0,         0,         0,         0
  26283.00,  25472.00,         0,      1.00,         0,         0,         0
  26285.00,  26287.00,         0,      1.00,         0,         0,         0
  26286.00,  25475.00,      1.00,         0,         0,         0,         0
  26287.00,  21134.00,         0,      1.00,         0,         0,         0
  26288.00,  26286.00,      1.00,         0,         0,         0,         0
  26289.00,  28911.00,         0,      1.00,         0,         0,         0
  26290.00,  26894.00,      1.00,         0,         0,         0,         0
  26703.00,  21066.00,         0,      1.00,         0,         0,         0
  26704.00,  21233.00,         0,      1.00,         0,         0,         0
  26705.00,  21338.00,      1.00,         0,         0,         0,         0
  26706.00,  40252.00,         0,      1.00,         0,         0,         0
  26707.00,  21244.00,      1.00,         0,         0,         0,         0
  26708.00,  26710.00,         0,      1.00,         0,         0,         0
  26710.00,  22008.00,         0,      1.00,         0,         0,         0
  26711.00,  26945.00,      1.00,         0,         0,         0,         0
  26712.00,  26714.00,         0,      1.00,         0,         0,         0
  26713.00,  22004.00,      1.00,         0,         0,         0,         0
  26714.00,  40247.00,         0,      1.00,         0,         0,         0
  26715.00,  26713.00,      1.00,         0,         0,         0,         0
  26716.00,  26718.00,         0,      1.00,         0,         0,         0
  26717.00,  40246.00,      1.00,         0,         0,         0,         0
  26718.00,  26720.00,         0,      1.00,         0,         0,         0
  26719.00,  26717.00,      1.00,         0,         0,         0,         0
  26720.00,  26942.00,         0,      1.00,         0,         0,         0
  26721.00,  26719.00,      1.00,         0,         0,         0,         0
  26722.00,  40244.00,         0,      1.00,         0,         0,         0
  26723.00,  26941.00,      1.00,         0,         0,         0,         0
  26810.00,  26812.00,         0,      1.00,         0,         0,         0
  26811.00,  40245.00,      1.00,         0,         0,         0,         0
  26812.00,  26814.00,         0,      1.00,         0,         0,         0
  26813.00,  26811.00,      1.00,         0,         0,         0,         0
  26814.00,  26816.00,         0,      1.00,         0,         0,         0
  26815.00,  26813.00,      1.00,         0,         0,         0,         0
  26816.00,  40233.00,         0,      1.00,         0,         0,         0
  26817.00,  26815.00,      1.00,         0,         0,         0,         0
  26818.00,  40237.00,         0,      1.00,         0,         0,         0
  26819.00,  40235.00,      1.00,         0,         0,         0,         0
  26820.00,  40228.00,         0,      1.00,         0,         0,         0
  26821.00,  26819.00,      1.00,         0,         0,         0,         0
  26822.00,  26826.00,         0,      1.00,         0,         0,         0
  26823.00,  40225.00,      1.00,         0,         0,         0,         0
  26826.00,  26828.00,         0,      1.00,         0,         0,         0
  26827.00,  26823.00,      1.00,         0,         0,         0,         0
  26828.00,  20285.00,         0,      1.00,         0,         0,         0
  26829.00,  26827.00,      1.00,         0,         0,         0,         0
  26830.00,  40203.00,         0,      1.00,         0,         0,         0
  26831.00,  21306.00,      1.00,         0,         0,         0,         0
  26832.00,  26834.00,         0,      1.00,         0,         0,         0
  26833.00,  40207.00,      1.00,         0,         0,         0,         0
  26835.00,  26833.00,      1.00,         0,         0,         0,         0
  26893.00,  26289.00,         0,      1.00,         0,         0,         0
  26894.00,  21138.00,      1.00,         0,         0,         0,         0
  26904.00,  40043.00,         0,      1.00,         0,         0,         0
  26905.00,  26219.00,      1.00,         0,         0,         0,         0
  26911.00,  23224.00,      1.00,         0,         0,         0,         0
  26914.00, 100314.00,         0,      1.00,         0,         0,         0
  26922.00,  26926.00,         0,      1.00,         0,         0,         0
  26923.00, 100304.00,      1.00,         0,         0,         0,         0
  26926.00,  26928.00,         0,      1.00,         0,         0,         0
  26927.00,  26923.00,      1.00,         0,         0,         0,         0
  26928.00,  20392.00,         0,      1.00,         0,         0,         0
  26929.00,  26927.00,      1.00,         0,         0,         0,         0
  26934.00,  26252.00,         0,      1.00,         0,         0,         0
  26935.00,  26251.00,      1.00,         0,         0,         0,         0
  26940.00,  26722.00,         0,      1.00,         0,         0,         0
  26941.00,  26943.00,      1.00,         0,         0,         0,         0
  26942.00,  26940.00,         0,      1.00,         0,         0,         0
  26943.00,  26721.00,      1.00,         0,         0,         0,         0
  26945.00,  40249.00,      1.00,         0,         0,         0,         0
  28023.00,  28141.00,      1.00,         0,         0,         0,         0
  28042.00,  28146.00,      1.00,         0,         0,         0,         0
  28105.00,  33622.00,         0,      1.00,         0,         0,         0
  28107.00,  28369.00,         0,      1.00,         0,         0,         0
  28124.00,  31113.00,         0,         0,      1.00,         0,         0
  28138.00,  28139.00,         0,      1.00,         0,         0,         0
  28139.00,  28140.00,         0,      1.00,         0,         0,         0
  28140.00,  28143.00,         0,      1.00,         0,         0,         0
  28141.00,  34948.00,      1.00,         0,         0,         0,         0
  28143.00,  28144.00,         0,      1.00,         0,         0,         0
  28146.00,  28167.00,      1.00,         0,         0,         0,         0
  28147.00,  28148.00,      1.00,         0,         0,         0,         0
  28148.00,  28023.00,      1.00,         0,         0,         0,         0
  28150.00,  29467.00,         0,      1.00,         0,         0,         0
  28152.00,  30797.00,      1.00,         0,         0,         0,         0
  28153.00,  30626.00,         0,      1.00,         0,         0,         0
  28156.00,  30645.00,      1.00,         0,         0,         0,         0
  28158.00,  30600.00,      1.00,         0,         0,         0,         0
  28159.00,  32474.00,         0,      1.00,         0,         0,         0
  28161.00,  30636.00,         0,      1.00,         0,         0,         0
  28164.00,  30632.00,      1.00,         0,         0,         0,         0
  28173.00,  30528.00,         0,      1.00,         0,         0,         0
  28176.00,  28773.00,      1.00,         0,         0,         0,         0
  28183.00,  28184.00,      1.00,         0,         0,         0,         0
  28184.00,  30478.00,      1.00,         0,         0,         0,         0
  28185.00,  30483.00,         0,      1.00,         0,         0,         0
  28207.00,  30536.00,      1.00,         0,         0,         0,         0
  28240.00,  35436.00,      1.00,         0,         0,         0,         0
  28246.00,  30713.00,      1.00,         0,         0,         0,         0
  28247.00,  28246.00,      1.00,         0,         0,         0,         0
  28253.00,  28259.00,      1.00,         0,         0,         0,         0
  28253.00,  29458.00,         0,      1.00,         0,         0,         0
  28256.00,  28257.00,         0,      1.00,         0,         0,         0
  28257.00,  28253.00,         0,      1.00,         0,         0,         0
  28259.00,  28240.00,      1.00,         0,         0,         0,         0
  28263.00,  28238.00,         0,      1.00,         0,         0,         0
  28319.00,  28324.00,      1.00,         0,         0,         0,         0
  28324.00,  28325.00,      1.00,         0,         0,         0,         0
  28324.00,  35351.00,      1.00,         0,         0,         0,         0
  28330.00,  28912.00,         0,      1.00,         0,         0,         0
  28330.00,  33530.00,         0,      1.00,         0,         0,         0
  28346.00,  28330.00,         0,      1.00,         0,         0,         0
  28347.00,  28346.00,         0,      1.00,         0,         0,         0
  28351.00,  28365.00,      1.00,         0,         0,         0,         0
  28352.00,  28351.00,      1.00,         0,         0,         0,         0
  28357.00,  28358.00,         0,      1.00,         0,         0,         0
  28357.00,  35352.00,         0,      1.00,         0,         0,         0
  28365.00,  28098.00,      1.00,         0,         0,         0,         0
  28365.00,  28366.00,      1.00,         0,         0,         0,         0
  28369.00,  28370.00,         0,      1.00,         0,         0,         0
  28370.00,  28357.00,         0,      1.00,         0,         0,         0
  28384.00,  28982.00,      1.00,         0,         0,         0,         0
  28385.00,  28913.00,         0,      1.00,         0,         0,         0
  28387.00,  28319.00,      1.00,         0,         0,         0,         0
  28492.00,  33232.00,         0,      1.00,         0,         0,         0
  28497.00,  30753.00,      1.00,         0,         0,         0,         0
  28502.00,  30752.00,         0,      1.00,         0,         0,         0
  28532.00,  28502.00,         0,      1.00,         0,         0,         0
  28537.00,  34662.00,      1.00,         0,         0,         0,         0
  28552.00,  30789.00,         0,      1.00,         0,         0,         0
  28557.00,  40022.00,      1.00,         0,         0,         0,         0
  28567.00,  40063.00,         0,      1.00,         0,         0,         0
  28602.00,  28648.00,      1.00,         0,         0,         0,         0
  28617.00,  40339.00,         0,      1.00,         0,         0,         0
  28622.00,  28627.00,      1.00,         0,         0,         0,         0
  28627.00,  34941.00,      1.00,         0,         0,         0,         0
  28637.00,  28936.00,         0,      1.00,         0,         0,         0
  28647.00,  28637.00,         0,      1.00,         0,         0,         0
  28648.00,  40021.00,      1.00,         0,         0,         0,         0
  28651.00,  40020.00,         0,      1.00,         0,         0,         0
  28657.00,  40018.00,      1.00,         0,         0,         0,         0
  28663.00,  40059.00,         0,      1.00,         0,         0,         0
  28664.00,  30961.00,         0,      1.00,         0,         0,         0
  28676.00,  28664.00,      1.00,         0,         0,         0,         0
  28677.00,  40348.00,      1.00,         0,         0,         0,         0
  28678.00,  28676.00,      1.00,         0,         0,         0,         0
